feature_id,expected_behavior,oracle_type,suite,lane,seed,fixture_or_contract
GCTAB-H04,strL staging and full coefficient identities prevent truncation and sanitized-key collisions,long-text and term-identity oracle,test_audit_remediation,quick,8102,audit/test_gcomptab_remediation.do
GCTAB-H05,gcomptab accepts named mediation MSM effects without positional guessing,named-effect postestimation oracle,test_audit_remediation,quick,,audit/test_gcomptab_msm_effect.do
GCTAB-H06,Source reload caller Mata sheet validation and best-effort open preserve written-result metadata,reload/state/open oracle,test_audit_remediation,quick,161,audit/test_gcomptab_option_style.do
GCOMP-D01,Stored results define mode units shapes availability and effective resampling counts,documentation contract plus runtime metadata,test_doc_examples,release,,gcomp.sthlp stored-results tables
GCOMP-D02,Package and command descriptions expose all three table modes and all output formats,static distribution/document contract,test_package_release,release,,gcomp.pkg README.md gcomptab.sthlp
GCOMP-D03,Printed help examples use complete reproducible setup and execute,exact example execution,test_doc_examples,release,documented,help example blocks
GCOMP-D04,Causal assumptions and inference limitations are consolidated and tied to modes,documentation completeness contract,test_package_release,release,,gcomp.sthlp assumptions marker
GCOMP-D05,Every synopt description fits its active Viewer column width,SMCL rendered-width approximation,test_package_release,release,,tools/check_release.py
GCOMP-D06,Demos derive paths relocatably and one canonical generator deterministically owns the workbook,demo manifest and workbook semantics,test_package_release,release,20260713,demo/manifest.md
GCOMP-D07,Option descriptions match implemented mode limits defaults and approximation labels,documentation/runtime contract,test_doc_examples,release,,README and help option examples
GCOMP-Q01,Canonical quick core external slow release and full lanes have explicit inventories timeouts and budgets,manifest and runner contract,run_qa.py,all,20260713,lanes.json
GCOMP-Q02,Unexplained bootstrap or jackknife x/e markers fail a lane and declared expected failures have bounded marker counts,synthetic parser self-test plus live expected failure,test_expected_resampling_failure,quick,606,run_qa.py parser_self_test
GCOMP-Q03,Source suites resolve the working tree without installation and the only install smoke is isolated and begins with ado dir,path resolution and isolated install,test_install_smoke,release,,_qa_bootstrap.do
GCOMP-Q04,Every suite and aggregate emits a terminal structured RESULT and logs are moved to /tmp,manifest/sentinel/artifact contract,run_qa.py,all,,fresh-log and sentinel parser
GCOMP-Q05,Release gate checks package distribution SMCL widths and workbook XML; visual lane performs raster/pixel audit,semantic plus pixel gate,test_package_release,release,,tools/check_xlsx.py and run_visual.py
GCOMP-Q06,Every external fixture has a pinned generator command seed method runtime and tolerance and regenerates outside the worktree,independent regeneration and cell diff,crossval_fixture_provenance,external,manifest,data/fixture_manifest.json
GCOMP-Q07,Each suite runs in a fresh Stata process and canonical lanes pass in seeded randomized order,process isolation and shuffle meta-test,run_qa.py,all,20260713,--shuffle --seed
GCOMP-Q08,Feature interactions map to expected behavior oracle and executable suite rather than token occurrence,matrix completeness contract,test_package_release,release,,feature_matrix.csv
GCOMP-Q09,QA documentation is an operational inventory derived from lanes and feature contracts,inventory consistency contract,run_qa.py,all,,README.md lanes.json feature_matrix.csv
GCOMP-M01,A supplied nonpositive seed is rejected with rc 198 before mutation,error and caller-state oracle,test_audit_remediation,quick,-1,audit/test_caller_state.do
GCOMP-M02,Public source headers contain valid current syntax architecture and version claims,static header/document contract,test_package_release,release,,gcomp.ado gcomptab.ado
GCOMP-M03,Saved-output and diagnostic schemas have exact names types arm codes and placeholder/availability rules,schema and diagnostic matrix oracle,test_audit_remediation,quick,141,audit/test_saving_schema.do
